Year,Month,Week,Infected,Avg household size,Population,Under_18,18-24,25-44,45-64,Above_65,Median_age,indexedCountry,indexedRegion,indexedDisease
2009,10,40,4,2.3,304733,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2009,10,40,0,2.3,304733,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2009,10,40,0,2.3,304733,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2009,10,41,11,2.3,304733,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2009,10,41,0,2.3,304733,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2009,10,41,0,2.3,304733,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2009,10,42,27,2.3,304733,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2009,10,42,0,2.3,304733,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2009,10,42,0,2.3,304733,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2009,10,43,86,2.3,304733,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2009,10,43,1,2.3,304733,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2009,10,43,0,2.3,304733,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2009,11,44,76,2.3,304733,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2009,11,44,1,2.3,304733,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2009,11,44,0,2.3,304733,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2009,11,45,61,2.3,304733,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2009,11,45,0,2.3,304733,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2009,11,45,0,2.3,304733,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2009,11,46,29,2.3,304733,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2009,11,46,0,2.3,304733,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2009,11,46,0,2.3,304733,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2009,11,47,17,2.3,304733,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2009,11,47,0,2.3,304733,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2009,11,47,0,2.3,304733,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2009,12,48,8,2.3,304733,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2009,12,48,0,2.3,304733,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2009,12,48,0,2.3,304733,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2009,12,49,5,2.3,304733,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2009,12,49,0,2.3,304733,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2009,12,49,0,2.3,304733,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2009,12,50,1,2.3,304733,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
