year,suicides_no,population,indexedCountry,indexedage
1987,14,289700,76.0,0.0
1987,4,257200,76.0,1.0
1987,6,278800,76.0,2.0
1987,0,311000,76.0,3.0
1987,0,144600,76.0,4.0
1987,1,35600,76.0,5.0
1987,21,312900,76.0,0.0
1987,9,274300,76.0,1.0
1987,16,308000,76.0,2.0
1987,0,338200,76.0,3.0
1987,1,137500,76.0,4.0
1987,1,21800,76.0,5.0
1988,8,295600,76.0,0.0
1988,5,262400,76.0,1.0
1988,4,284500,76.0,2.0
1988,0,317200,76.0,3.0
1988,3,147500,76.0,4.0
1988,2,36400,76.0,5.0
1988,17,319200,76.0,0.0
1988,5,279900,76.0,1.0
1988,14,314100,76.0,2.0
1988,0,345000,76.0,3.0
1988,4,140200,76.0,4.0
1988,1,22300,76.0,5.0
1989,5,299900,76.0,0.0
1989,2,266300,76.0,1.0
1989,7,288600,76.0,2.0
1989,0,321900,76.0,3.0
1989,1,149600,76.0,4.0
1989,0,37000,76.0,5.0
1989,12,323500,76.0,0.0
1989,18,283600,76.0,1.0
1989,15,318400,76.0,2.0
1989,0,349700,76.0,3.0
1989,6,142100,76.0,4.0
1989,2,22500,76.0,5.0
1992,7,292400,76.0,0.0
1992,4,267400,76.0,1.0
1992,2,323100,76.0,2.0
1992,0,336700,76.0,3.0
1992,1,164900,76.0,4.0
1992,0,38700,76.0,5.0
1992,9,263700,76.0,0.0
1992,7,245500,76.0,1.0
1992,12,343800,76.0,2.0
1992,0,362900,76.0,3.0
1992,5,159500,76.0,4.0
1992,0,23900,76.0,5.0
1993,10,285300,76.0,0.0
1993,7,261800,76.0,1.0
1993,7,331200,76.0,2.0
1993,1,340300,76.0,3.0
1993,2,169500,76.0,4.0
1993,0,39300,76.0,5.0
1993,18,243300,76.0,0.0
1993,9,230100,76.0,1.0
1993,10,350300,76.0,2.0
1993,1,367000,76.0,3.0
1993,7,165000,76.0,4.0
1993,1,24200,76.0,5.0
1994,6,282600,76.0,0.0
1994,4,261100,76.0,1.0
1994,2,342500,76.0,2.0
1994,0,344400,76.0,3.0
1994,1,174600,76.0,4.0
1994,2,39900,76.0,5.0
1994,6,242200,76.0,0.0
1994,6,231400,76.0,1.0
1994,9,362800,76.0,2.0
1994,1,371800,76.0,3.0
1994,11,171400,76.0,4.0
1994,2,24600,76.0,5.0
1995,13,283500,76.0,0.0
1995,7,264000,76.0,1.0
1995,8,356400,76.0,2.0
1995,2,348700,76.0,3.0
1995,2,180400,76.0,4.0
1995,2,40800,76.0,5.0
1995,11,241200,76.0,0.0
1995,13,232900,76.0,1.0
1995,14,375900,76.0,2.0
1995,6,376500,76.0,3.0
1995,9,178000,76.0,4.0
1995,1,25100,76.0,5.0
1996,16,287700,76.0,0.0
1996,10,267900,76.0,1.0
1996,9,362000,76.0,2.0
1996,1,354100,76.0,3.0
1996,1,183100,76.0,4.0
1996,2,41200,76.0,5.0
1996,17,243600,76.0,0.0
1996,14,235300,76.0,1.0
1996,12,379600,76.0,2.0
1996,2,380400,76.0,3.0
1996,3,179900,76.0,4.0
1996,2,25400,76.0,5.0
1997,21,294000,76.0,0.0
1997,16,273900,76.0,1.0
1997,7,370100,76.0,2.0
1997,6,361800,76.0,3.0
1997,0,187000,76.0,4.0
1997,2,42100,76.0,5.0
1997,33,244400,76.0,0.0
1997,36,236000,76.0,1.0
1997,30,380800,76.0,2.0
1997,4,381500,76.0,3.0
1997,12,180300,76.0,4.0
1997,3,25400,76.0,5.0
1998,32,295600,76.0,0.0
1998,10,275300,76.0,1.0
1998,9,372100,76.0,2.0
1998,1,363800,76.0,3.0
1998,6,188200,76.0,4.0
1998,0,42300,76.0,5.0
1998,27,248800,76.0,0.0
1998,26,240400,76.0,1.0
1998,29,388200,76.0,2.0
1998,2,388400,76.0,3.0
1998,9,183800,76.0,4.0
1998,3,25800,76.0,5.0
1999,19,296800,76.0,0.0
1999,13,276500,76.0,1.0
1999,5,373600,76.0,2.0
1999,1,365200,76.0,3.0
1999,6,188800,76.0,4.0
1999,4,42400,76.0,5.0
1999,24,250600,76.0,0.0
1999,19,242300,76.0,1.0
1999,31,391100,76.0,2.0
1999,0,391300,76.0,3.0
1999,14,185200,76.0,4.0
1999,3,25900,76.0,5.0
2000,6,263900,76.0,0.0
2000,3,245800,76.0,1.0
2000,5,332200,76.0,2.0
2000,0,324700,76.0,3.0
2000,0,168000,76.0,4.0
2000,2,37800,76.0,5.0
2000,5,240000,76.0,0.0
2000,17,232000,76.0,1.0
2000,4,374700,76.0,2.0
2000,1,374900,76.0,3.0
2000,10,177400,76.0,4.0
2000,1,24900,76.0,5.0
2001,9,271359,76.0,0.0
2001,4,222771,76.0,1.0
2001,12,370191,76.0,2.0
2001,2,307356,76.0,3.0
2001,6,189799,76.0,4.0
2001,2,47254,76.0,5.0
2001,10,256039,76.0,0.0
2001,22,206484,76.0,1.0
2001,34,378826,76.0,2.0
2001,6,321556,76.0,3.0
2001,11,196670,76.0,4.0
2001,1,31044,76.0,5.0
2002,14,275970,76.0,0.0
2002,7,223685,76.0,1.0
2002,15,375113,76.0,2.0
2002,1,304850,76.0,3.0
2002,4,191712,76.0,4.0
2002,1,47407,76.0,5.0
2002,15,263067,76.0,0.0
2002,23,206286,76.0,1.0
2002,35,382139,76.0,2.0
2002,1,319473,76.0,3.0
2002,13,198130,76.0,4.0
2002,4,31007,76.0,5.0
2003,14,283709,76.0,0.0
2003,9,222941,76.0,1.0
2003,13,381760,76.0,2.0
2003,0,298477,76.0,3.0
2003,9,195699,76.0,4.0
2003,6,49088,76.0,5.0
2003,15,273235,76.0,0.0
2003,9,205433,76.0,1.0
2003,28,386196,76.0,2.0
2003,4,313204,76.0,3.0
2003,16,201520,76.0,4.0
2003,1,32667,76.0,5.0
2004,20,292268,76.0,0.0
2004,11,222389,76.0,1.0
2004,17,391436,76.0,2.0
2004,3,286705,76.0,3.0
2004,3,203841,76.0,4.0
2004,3,50970,76.0,5.0
2004,19,286768,76.0,0.0
2004,16,203938,76.0,1.0
2004,39,391767,76.0,2.0
2004,1,302181,76.0,3.0
2004,10,207202,76.0,4.0
2004,4,35526,76.0,5.0
2005,0,281922,76.0,0.0
2005,0,190745,76.0,1.0
2005,0,386513,76.0,2.0
2005,0,276559,76.0,3.0
2005,0,210998,76.0,4.0
2005,0,53191,76.0,5.0
2005,0,281675,76.0,0.0
2005,0,177519,76.0,1.0
2005,0,380242,76.0,2.0
2005,0,291367,76.0,3.0
2005,0,214118,76.0,4.0
2005,0,38471,76.0,5.0
2006,0,283138,76.0,0.0
2006,0,186391,76.0,1.0
2006,0,388746,76.0,2.0
2006,0,267316,76.0,3.0
2006,0,215907,76.0,4.0
2006,0,56011,76.0,5.0
2006,0,286679,76.0,0.0
2006,0,174092,76.0,1.0
2006,0,379076,76.0,2.0
2006,0,282678,76.0,3.0
2006,0,219360,76.0,4.0
2006,0,40782,76.0,5.0
2007,13,281080,76.0,0.0
2007,8,183629,76.0,1.0
2007,14,391811,76.0,2.0
2007,0,256808,76.0,3.0
2007,9,221120,76.0,4.0
2007,3,57404,76.0,5.0
2007,13,288349,76.0,0.0
2007,9,172494,76.0,1.0
2007,29,378626,76.0,2.0
2007,4,272497,76.0,3.0
2007,14,224160,76.0,4.0
2007,8,42366,76.0,5.0
2008,20,276073,76.0,0.0
2008,9,182663,76.0,1.0
2008,19,393832,76.0,2.0
2008,1,246288,76.0,3.0
2008,7,226448,76.0,4.0
2008,5,59369,76.0,5.0
2008,11,286702,76.0,0.0
2008,21,172855,76.0,1.0
2008,37,377119,76.0,2.0
2008,7,262464,76.0,3.0
2008,21,228672,76.0,4.0
2008,2,44574,76.0,5.0
2009,0,270003,76.0,0.0
2009,0,182712,76.0,1.0
2009,0,394286,76.0,2.0
2009,0,236174,76.0,3.0
2009,0,233302,76.0,4.0
2009,0,61582,76.0,5.0
2009,0,283448,76.0,0.0
2009,0,174955,76.0,1.0
2009,0,374365,76.0,2.0
2009,0,253007,76.0,3.0
2009,0,234570,76.0,4.0
2009,0,47331,76.0,5.0
2010,6,263581,76.0,0.0
2010,6,183579,76.0,1.0
2010,12,394593,76.0,2.0
2010,2,223969,76.0,3.0
2010,7,241491,76.0,4.0
2010,2,64415,76.0,5.0
2010,10,279508,76.0,0.0
